LIB,CON,BQ, NDP,GRN,OTH
136,99,20,3,0,0
136,100,20,3,0,0
137,100,20,3,0,0
138,101,20,3,0,0
137,101,21,3,0,0
138,101,21,3,0,0
138,102,21,3,0,0
139,105,21,3,0,0
138,106,21,3,0,0
137,107,21,3,0,0
138,107,21,3,0,0
138,108,21,3,0,0
138,108,21,4,0,0
137,109,21,4,0,0
138,108,21,5,0,0
139,108,21,6,0,0
140,108,21,6,0,0
142,106,21,6,0,0
142,105,22,6,0,0
144,105,22,6,0,0
145,105,22,7,0,0
147,104,22,7,0,0
148,104,21,7,0,0
148,105,21,7,0,0
149,104,21,7,0,0
148,105,21,7,0,0
147,106,21,7,0,0
147,107,21,7,0,0
146,108,21,7,0,0
145,109,21,7,0,0
146,109,21,6,0,0
145,110,22,5,0,0
146,109,22,5,0,0
146,110,22,5,0,0
146,111,22,5,0,0
147,111,22,5,0,0
145,112,23,5,0,0
145,114,23,5,0,0
146,114,23,5,0,0
146,114,24,5,0,0
147,113,24,5,0,0
146,114,24,5,0,0
145,115,24,5,0,0
146,115,24,5,0,0
148,116,24,5,1,0
150,115,24,5,1,0
149,118,24,5,1,0
150,118,23,5,1,0
149,119,23,5,1,0
150,118,23,5,1,0
151,117,23,6,1,0
150,118,23,6,1,0
151,118,23,6,0,0
151,119,23,6,0,0
152,120,23,6,0,0
153,119,23,6,0,0
152,120,23,6,0,0
153,119,23,6,0,0
154,118,23,6,0,0
155,118,23,6,0,0
154,119,23,6,0,0
155,119,23,6,0,0
154,120,23,6,0,0
153,121,23,6,0,0
153,123,23,6,0,0
153,124,22,6,0,0
152,125,22,6,0,0
151,126,22,6,0,0
150,127,22,6,0,0
150,128,22,6,0,0
151,127,22,6,0,0
150,127,23,6,0,0
152,126,23,6,0,0
151,128,23,6,0,0
152,128,22,6,0,0
151,128,22,7,0,0
152,127,22,7,0,0
152,127,22,8,0,0
153,127,22,7,0,0
152,128,22,7,0,0
151,129,22,7,0,0
152,129,22,7,0,0
151,130,22,7,0,0
150,130,22,8,0,0
151,130,21,8,0,0
153,129,21,9,0,0
152,130,21,9,0,0
151,131,21,9,0,0
153,130,21,9,0,0
153,131,21,9,0,0
152,131,22,9,0,0
153,131,22,9,0,0
153,132,22,9,0,0
155,131,22,8,0,0
156,131,22,8,0,0
156,132,22,8,0,0
157,131,22,8,0,0
156,131,23,8,0,0
157,131,23,8,0,0
158,130,23,8,0,0
158,130,23,9,0,0
157,130,24,9,0,0
157,131,24,9,0,0
158,130,24,9,0,0
158,131,24,9,0,0
157,132,24,9,0,0
156,133,24,9,0,0
156,134,24,9,0,0
156,135,24,9,0,0
157,134,24,9,0,0
158,134,24,9,0,0
159,133,24,9,0,0
160,133,24,9,0,0
161,132,24,9,0,0
160,132,24,9,1,0
159,133,24,9,1,0
158,134,24,9,1,0
159,133,24,9,1,0
159,134,24,9,1,0
158,134,24,9,1,1
160,135,24,9,0,1
160,135,24,10,0,0
161,134,24,10,0,0
162,134,24,10,0,0
163,134,24,10,0,0
164,134,24,10,0,0
164,135,24,10,0,0
163,137,24,10,0,0
162,138,24,10,0,0
162,137,24,10,1,0
161,138,24,10,1,0
160,139,24,10,1,0
162,137,24,10,1,0
161,137,25,10,1,0
160,138,25,10,1,0
160,139,25,10,1,0
159,139,25,11,1,0
160,139,25,11,1,0
161,138,25,11,1,0
160,140,25,11,0,0
159,141,25,11,0,0
158,142,25,11,0,0
159,142,24,11,0,0
157,144,24,11,0,0
158,143,24,11,0,0
157,144,24,11,0,0
156,145,24,11,0,0
157,144,24,11,0,0
158,144,24,10,0,0
158,142,24,11,1,0
